,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
4447,Buhl,27911.0,12%,1.31%,2300.28,88.37%,175.0,nc,15.50%,3277.0
4448,Combronde,24158.0,9.01%,1.49%,2359.83,88%,181.0,nc,18.99%,2143.0
4449,LaTour-d'Aigues,29221.0,12.02%,1.66%,2661.44,84.30%,443.0,nc,16.20%,4327.0
4450,Lapoutroie,26048.0,12.29%,1.61%,nc,85.93%,128.0,nc,13.69%,1851.0
4451,Lavérune,28956.0,14.08%,1.81%,2639.83,87.38%,496.0,nc,18.54%,3330.0
4452,LeSequestre,26740.0,10.12%,1.56%,nc,86.44%,230.0,nc,19.37%,1951.0
4453,Montgivray,25837.0,11.30%,1.67%,nc,84.94%,91.0,nc,14.72%,1554.0
4454,Mouzeuil-Saint-Martin,23156.0,10.52%,1.09%,nc,82.15%,61.0,nc,16.33%,1190.0
4455,Noirmoutier-en-l'Île,29190.0,11.59%,0.60%,2161.43,83.32%,631.0,nc,12.08%,4486.0
4456,Piriac-sur-Mer,33018.0,14.81%,1.83%,2435.15,79.96%,227.0,nc,11.84%,2368.0
4457,Puimisson,25452.0,14.81%,1.59%,nc,85.84%,101.0,nc,15.97%,1174.0
4458,Quéménéven,26574.0,12.72%,1.89%,nc,83.94%,45.0,nc,15.66%,1112.0
4459,Roscoff,30115.0,11%,1.38%,2485.42,78.04%,259.0,nc,15.09%,3362.0
4460,Saint-Germain-d'Esteuil,24085.0,11.45%,2.51%,nc,87.32%,63.0,nc,13.23%,1286.0
4461,Villars,28464.0,10.02%,1.39%,2424.80,87.34%,427.0,nc,16.69%,7861.0
4462,Void-Vacon,25229.0,10.61%,1.36%,nc,85.96%,102.0,nc,17.29%,1621.0
4463,Carlepont,26112.0,13.70%,1.32%,nc,85.79%,56.0,nc,15.30%,1475.0
4464,Chauché,25836.0,4.11%,nc,2139.37,87.45%,109.0,nc,17.48%,2485.0
4465,Eybens,30018.0,9.86%,2.09%,2731.56,86.74%,966.0,nc,19.53%,10112.0
4466,Longeville-lès-Metz,31933.0,11.79%,2.30%,2689.78,86.18%,358.0,nc,20%,3926.0
4467,Marnaz,31422.0,12.13%,1.34%,2446.78,84.51%,476.0,nc,15.62%,5735.0
4468,Mordelles,28840.0,10.33%,1.28%,2434.24,87.61%,413.0,nc,18.46%,7485.0
4469,Pajay,22260.0,13.10%,1.29%,nc,85.50%,55.0,nc,14.36%,1119.0
4470,Breuillet,31868.0,14.64%,1.80%,2447.94,83.48%,277.0,nc,12.12%,3031.0
4471,Isle,32235.0,9.57%,2.36%,2592.54,87.09%,411.0,nc,20.59%,7869.0
4472,LesAngles,31338.0,12.03%,2.26%,2804.38,87.02%,1147.0,nc,17.65%,8507.0
4473,Meximieux,28232.0,9.85%,1.62%,2729.35,86.59%,617.0,nc,20.16%,7998.0
4474,Nanteuil-le-Haudouin,26512.0,9.90%,1.79%,2508.18,88.95%,201.0,nc,18.52%,4153.0
4475,Orbey,25691.0,9.94%,0.90%,2317.80,84.51%,251.0,nc,14.74%,3461.0
4476,Oréed'Anjou,25967.0,7.58%,0.72%,2279.01,85.40%,858.0,nc,16.28%,16468.0
4477,Saint-Just,22743.0,10.56%,1.56%,nc,83.70%,43.0,nc,15%,1070.0
4478,Saint-Martin-la-Pallu,26167.0,7.60%,1.39%,2249.74,88.15%,268.0,nc,16.05%,5594.0
4479,Saint-Pierre-d'Irube,28494.0,9.07%,1.31%,2405.97,86.70%,427.0,nc,19.96%,5814.0
4480,Targon,22594.0,6.69%,1.22%,2271.57,83.97%,178.0,nc,16.14%,2043.0
4481,Velleron,27484.0,11.57%,1.69%,2580.74,84.18%,271.0,nc,15.14%,3030.0
4482,Villers-lès-Nancy,32499.0,10.57%,1.92%,2720.99,86.61%,748.0,nc,22.22%,14305.0
4483,Auros,22711.0,11.09%,1.62%,nc,85.30%,77.0,nc,16.24%,1048.0
4484,Beauzelle,30997.0,11.50%,2.32%,2834.85,87.69%,460.0,nc,20.95%,7127.0
4485,Blonville-sur-Mer,31576.0,13.58%,2.65%,nc,87.71%,144.0,nc,19.48%,1552.0
4486,LaFouillade,23486.0,10.42%,2.17%,nc,83.66%,100.0,nc,13.95%,1108.0
4487,Lauwin-Planque,29031.0,12.83%,1.64%,nc,84.92%,63.0,nc,15.68%,1604.0
4488,LeGrand-Lemps,27586.0,10.61%,1.36%,2465.01,85.36%,208.0,nc,17.13%,3084.0
4489,Mouliets-et-Villemartin,21894.0,10.14%,1.95%,nc,82.44%,90.0,nc,13.07%,1031.0
4490,Pleumeur-Gautier,21391.0,10.80%,1.01%,nc,81.97%,70.0,nc,14.43%,1189.0
4491,Rieupeyroux,22438.0,9.68%,1.71%,nc,87.82%,193.0,nc,14.64%,1940.0
4492,Guillac,23159.0,11.23%,1.52%,nc,85.83%,70.0,nc,13.74%,1364.0
4493,Pleugueneuc,23452.0,9.23%,0.55%,2217.95,86.05%,101.0,nc,17.59%,1972.0
4494,Port-de-Lanne,25966.0,12.14%,1.89%,nc,83.95%,88.0,nc,14.87%,1195.0
4495,Savigné,21839.0,9.53%,2.96%,nc,88.14%,111.0,nc,14.25%,1303.0
4496,Coulanges-lès-Nevers,28024.0,10.03%,1.19%,2299.59,86.41%,137.0,nc,15.33%,3708.0
4497,Fons,27048.0,11.83%,1.38%,nc,85.99%,93.0,nc,17.01%,1733.0
4498,Lathus-Saint-Rémy,20169.0,8.13%,1.48%,nc,79.15%,72.0,nc,9.81%,1217.0
4499,Névian,25854.0,10.48%,1.88%,nc,81.48%,93.0,nc,14.61%,1277.0
4500,Osny,31368.0,10.64%,3.03%,2875.91,88.11%,1238.0,nc,18.37%,17111.0
4501,Pontacq,24775.0,8.83%,1.24%,2310.82,88.44%,197.0,nc,18.25%,2921.0
4502,Prades,23850.0,13.90%,1.28%,nc,85.61%,77.0,nc,15.50%,1180.0
4503,Quilly,25245.0,11.71%,1.14%,nc,85.59%,67.0,nc,17.81%,1435.0
4504,Roche-lez-Beaupré,27754.0,8.65%,1.63%,2322.22,84.47%,215.0,nc,18.05%,2169.0
4505,Ruminghem,25843.0,10.23%,1.37%,nc,85.55%,69.0,nc,17.29%,1612.0
4506,Saint-Usage,24827.0,12.14%,1.21%,nc,85.43%,88.0,nc,17.23%,1332.0
4507,Tavel,26739.0,10.51%,2.17%,2513.26,86.37%,173.0,nc,17.43%,2029.0
4508,Thésée,23682.0,8.97%,2.60%,nc,81.91%,78.0,nc,12.81%,1153.0
4509,Lampaul-Guimiliau,24671.0,8.80%,1.19%,2251.37,84.77%,93.0,nc,14.19%,2023.0
4510,Mortagne-sur-Sèvre,27452.0,8.91%,0.68%,2300.83,84.48%,388.0,nc,17.35%,6063.0
4511,Perrecy-les-Forges,23811.0,9.81%,1.68%,nc,86.56%,66.0,nc,14.93%,1557.0
4512,Pont-Salomon,23986.0,8.03%,1.28%,nc,84.66%,125.0,nc,17.91%,1889.0
4513,Saint-Viaud,25845.0,8.97%,0.90%,2241.30,86.62%,123.0,nc,17.15%,2730.0
4514,Betschdorf,27515.0,9.30%,1.19%,2326.36,84.86%,237.0,nc,15.20%,4192.0
4515,Bruz,33101.0,10.31%,1.58%,2851.81,84.28%,1244.0,nc,23.98%,19090.0
4516,Buchy,24714.0,9.30%,1.11%,2329.05,87.12%,204.0,nc,16.93%,2820.0
4517,Cahuzac-sur-Vère,25125.0,11.31%,2.19%,nc,83.83%,105.0,nc,14.30%,1164.0
4518,Dom-le-Mesnil,23948.0,15.43%,2.93%,nc,91.55%,51.0,nc,15.33%,1064.0
4519,Jassans-Riottier,27494.0,9.68%,1.45%,2514.65,86.88%,460.0,nc,17.81%,6337.0
4520,LeFidelaire,25225.0,13.23%,1.59%,nc,83.62%,40.0,nc,15.59%,1013.0
4521,LesBordes,26792.0,10.50%,1.66%,nc,86.27%,83.0,nc,15.55%,1895.0
4522,Norrent-Fontes,24796.0,11.29%,1.54%,nc,85.25%,65.0,nc,14.76%,1377.0
4523,Payrin-Augmontel,26712.0,11.87%,1.37%,2274.79,88.04%,89.0,nc,14.49%,2181.0
4524,Plonévez-Porzay,25384.0,12.65%,1.18%,nc,85.42%,142.0,nc,14.85%,1787.0
4525,Saint-Genis-Pouilly,39722.0,10.21%,1.22%,2285.85,75.65%,753.0,nc,8.92%,14274.0
4526,Val-de-Virieu,22857.0,11.54%,1.17%,nc,86.65%,123.0,nc,15.83%,1536.0
4527,Andres,24907.0,10.55%,1.49%,nc,85.94%,59.0,nc,15.46%,1552.0
4528,Arandon-Passins,24495.0,9.91%,1.61%,nc,86.69%,193.0,nc,16.01%,1873.0
4529,Baguer-Morvan,22957.0,6.77%,1.35%,nc,83.13%,82.0,nc,17.08%,1702.0
4530,Brie-Comte-Robert,28268.0,9.29%,1.94%,2592.85,88.88%,1587.0,nc,18.87%,19161.0
4531,Condé-sur-Sarthe,26385.0,8.15%,0.92%,2168.55,85.59%,137.0,nc,16.91%,2494.0
4532,Condrieu,26831.0,9.02%,1.45%,2600.79,84.47%,316.0,nc,18.97%,3949.0
4533,Monistrol-sur-Loire,28409.0,9.56%,0.91%,2451.99,85.06%,733.0,nc,19.51%,8962.0
4534,Sainte-Colombe,29613.0,9.93%,2.10%,nc,85.84%,229.0,nc,19.20%,1986.0
4535,Ayron,22715.0,10.90%,1.01%,nc,83.01%,66.0,nc,17.37%,1096.0
4536,Cressensac-Sarrazac,23392.0,9.63%,2.37%,nc,84.15%,100.0,nc,14.65%,1125.0
4537,Janzé,27079.0,8.86%,0.84%,2364.25,86.02%,486.0,nc,17.92%,8523.0
4538,Neulliac,25435.0,11.28%,1.73%,nc,85.16%,68.0,nc,14.44%,1419.0
4539,Orgères,30052.0,9.55%,1.74%,2487.05,87.31%,250.0,nc,19.78%,5341.0
4540,Saint-Jean-Bonnefonds,27605.0,9.17%,1.44%,2499.04,86.88%,391.0,nc,17.99%,6633.0
4541,Saint-Lys,27546.0,9.26%,1.54%,2573.41,88.03%,617.0,nc,20.58%,9555.0
4542,Saint-Parres-aux-Tertres,28238.0,11.86%,1.09%,2278.96,87.74%,238.0,nc,16.21%,3179.0
4543,Vallet,27941.0,8.57%,1.26%,2452.10,85.69%,751.0,nc,18%,9412.0
4544,Canéjan,31492.0,12.89%,1.45%,2701.23,85.23%,603.0,nc,18.80%,5997.0
4545,Carnac,34628.0,16.59%,1.80%,2588.88,83.55%,673.0,nc,14.16%,4231.0
4546,Entre-deux-Guiers,24619.0,10.75%,1.01%,nc,85.57%,150.0,nc,17.11%,1877.0
4547,Férel,25966.0,9.15%,1.09%,2360.14,84.92%,185.0,nc,15.75%,3367.0
4548,Pont-de-Metz,32902.0,9.31%,2.23%,2552.08,83.47%,99.0,nc,23.95%,2375.0
4549,Saint-Georges-de-Luzençon,24656.0,13.08%,1.38%,nc,88.21%,115.0,nc,16.11%,1606.0
4550,Saint-Pierre-de-Bœuf,25558.0,9.44%,1.71%,nc,86.14%,132.0,nc,17.49%,1697.0
4551,Serrières-de-Briord,23976.0,10.63%,1.52%,nc,86.60%,79.0,nc,17.23%,1310.0
4552,Bouvron,23907.0,7.40%,0.81%,2337.88,84.71%,171.0,nc,18.38%,3081.0
4553,LeFolgoët,28166.0,10.69%,0.77%,2207.07,84.89%,147.0,nc,14.34%,3239.0
4554,Puilboreau,27767.0,10.52%,1.48%,2572.25,87.02%,649.0,nc,16.93%,6659.0
4555,Bihorel,35482.0,11.40%,2.32%,2900.14,84.93%,523.0,nc,19.20%,8197.0
4556,Cast,23734.0,8.32%,1.42%,nc,84.29%,70.0,nc,16.65%,1532.0
4557,Pamproux,22381.0,10.13%,1.37%,nc,87.26%,86.0,nc,14.67%,1683.0
4558,Arzal,25145.0,11.31%,1.26%,nc,82.99%,171.0,nc,14.24%,1699.0
4559,Saint-Brice-sous-Forêt,32439.0,13.49%,2.33%,2767,89.66%,1277.0,nc,18.68%,15102.0
4560,Vauréal,31166.0,11.96%,2.11%,2875.56,88.28%,930.0,nc,19.12%,16020.0
4561,Cubnezais,23642.0,9.27%,1.44%,nc,86.75%,125.0,nc,16.82%,1726.0
4562,Darnieulles,25839.0,11.90%,1.61%,nc,87.04%,52.0,nc,16.64%,1369.0
4563,Écouen,29839.0,10.65%,2.52%,2746.20,88.29%,557.0,nc,18.40%,7099.0
4564,Gières,31177.0,9.61%,1.63%,2762.65,84.17%,591.0,nc,25.72%,7140.0
4565,Gundershoffen,28154.0,10.71%,1.14%,2276.27,86.64%,238.0,nc,14.34%,3758.0
4566,Saint-Clément-des-Levées,23580.0,10.32%,1.80%,nc,83.77%,70.0,nc,14.93%,1097.0
4567,Serris,30495.0,10.53%,1.85%,2815.23,86.26%,1074.0,nc,19.89%,9699.0
4568,Vieillevigne,25535.0,7.76%,0.74%,2293.63,83.71%,232.0,nc,16.56%,4040.0
4569,Arzon,33014.0,16.91%,2.16%,2596.80,77.23%,308.0,nc,10.67%,2264.0
4570,Audun-le-Roman,28868.0,12.35%,2.14%,2377.26,87.70%,121.0,nc,13.56%,2465.0
4571,Chuelles,24507.0,12.30%,1.72%,nc,86.50%,80.0,nc,15.30%,1217.0
4572,Dettwiller,26935.0,12.03%,1.08%,2307.21,87.30%,152.0,nc,15.38%,2595.0
4573,Fouquereuil,26699.0,10.42%,1.96%,nc,88.53%,48.0,nc,18.26%,1629.0
4574,Fournès,24095.0,9.16%,3.01%,nc,87.85%,70.0,nc,20.21%,1073.0
4575,Guarbecque,25059.0,10.24%,1.53%,nc,85.04%,43.0,nc,15.70%,1388.0
4576,LaFerté-Saint-Aubin,28879.0,9.09%,1.50%,2435.85,86.81%,447.0,nc,17.01%,7371.0
4577,Lacrouzette,23716.0,9.12%,1.55%,nc,85.41%,168.0,nc,16.51%,1573.0
4578,Vigneulles-lès-Hattonchâtel,25948.0,10.52%,1.72%,nc,82.91%,130.0,nc,13.41%,1566.0
4579,Villeneuve,24882.0,8.46%,1.99%,nc,84.84%,204.0,nc,14.66%,1976.0
4580,Yainville,24046.0,14.43%,1.25%,nc,85.10%,60.0,nc,16.20%,1037.0
4581,Falleron,21846.0,9.60%,0.89%,nc,85.99%,93.0,nc,16.93%,1667.0
4582,LaChapelle-de-Guinchay,27440.0,9.99%,0.88%,2376.45,85.08%,248.0,nc,16.98%,4126.0
4583,Saint-André-sur-Orne,27044.0,9.67%,1.17%,nc,83.51%,135.0,nc,19.39%,1814.0
4584,Saint-Yvi,26330.0,8.52%,0.99%,2275.17,87.04%,135.0,nc,17.46%,3308.0
4585,Sancerre,32475.0,11.34%,2.71%,nc,81.67%,175.0,nc,17.23%,1340.0
4586,Sousceyrac-en-Quercy,19364.0,8.37%,2.03%,nc,86.32%,95.0,nc,12.60%,1334.0
4587,Villers-Bretonneux,27623.0,10.51%,1.29%,2446.28,88.71%,216.0,nc,18.88%,4637.0
4588,Giraumont,22785.0,13.72%,0.88%,nc,86.69%,24.0,nc,15.31%,1349.0
4589,LaLimouzinière,25197.0,8.68%,0.81%,2302.32,85.26%,120.0,nc,17.76%,2487.0
4590,Saint-Eustache-la-Forêt,27366.0,10.25%,1.62%,nc,81.97%,28.0,nc,17.11%,1218.0
4591,Sémalens,25169.0,11.35%,1.34%,2356.74,87.04%,119.0,nc,14.88%,2006.0
4592,Ézanville,29442.0,10.67%,2.42%,2685.88,89.45%,606.0,nc,18.13%,9594.0
4593,LaFarlède,29491.0,9.70%,1.56%,2462.64,86.58%,1136.0,nc,16.04%,9605.0
4594,Ménéac,21265.0,7.68%,1.48%,nc,81.42%,104.0,nc,12.22%,1512.0
4595,Paray-Vieille-Poste,29450.0,10.40%,2.62%,2660.76,88.92%,785.0,nc,17.26%,7823.0
4596,Pougues-les-Eaux,28100.0,7.70%,1.85%,2311.10,85.75%,143.0,nc,18.03%,2361.0
4597,Saint-Jean-de-Védas,32989.0,11.66%,1.87%,2758.34,87.35%,1685.0,nc,20.41%,11843.0
4598,Volvic,27427.0,9.75%,2.72%,2603.69,89.84%,269.0,nc,17.45%,4702.0
4599,Wormhout,27185.0,10.23%,1.19%,2488.21,85.75%,276.0,nc,15.53%,5709.0
4600,Val-de-Bonnieure,22618.0,14.01%,1.43%,nc,88.35%,88.0,nc,14.37%,1318.0
4601,Vers-Pont-du-Gard,27540.0,12.80%,1.97%,nc,88.36%,193.0,nc,16.47%,1785.0
4602,Aubigny-en-Artois,28028.0,10.11%,2.16%,nc,86.93%,113.0,nc,20.74%,1479.0
4603,Barbazan-Debat,28329.0,12.33%,0.97%,2335.40,85.92%,173.0,nc,14.57%,3497.0
4604,Bettancourt-la-Ferrée,28234.0,13.31%,1.50%,nc,83.02%,131.0,nc,11.48%,1794.0
4605,Bruges,31820.0,9.98%,2.04%,2724.31,88.27%,1965.0,8766,21.11%,19863.0
4606,Couëron,29139.0,8.87%,1.53%,2553.68,87.45%,1318.0,nc,19.46%,22680.0
4607,Cournonsec,28316.0,11.63%,1.41%,2491.13,88.02%,282.0,nc,18.70%,3517.0
4608,LaFlotte,34046.0,12.76%,1.82%,2453.80,80.90%,456.0,nc,14.25%,2903.0
4609,Mouriès,28427.0,11.33%,2.31%,2636.48,86.68%,296.0,nc,15.73%,3400.0
4610,Peschadoires,24770.0,11.03%,1.24%,2312.42,89.05%,155.0,nc,16.67%,2115.0
4611,Saint-Germer-de-Fly,24505.0,14.77%,1.42%,nc,89.18%,86.0,nc,13.85%,1706.0
4612,Saint-Sulpice-le-Guérétois,26064.0,11.23%,1.57%,nc,87.84%,82.0,nc,15.59%,1926.0
4613,Thérouanne,24697.0,11.55%,1.53%,nc,85.93%,75.0,nc,18.76%,1101.0
4614,Cuges-les-Pins,29948.0,11.03%,2.03%,2625.50,88.64%,430.0,nc,19.59%,5380.0
4615,Cuverville,27535.0,11.99%,0.92%,2325.60,86.58%,96.0,nc,16.94%,2284.0
4616,Neuville-sur-Ain,25895.0,10.40%,1.61%,nc,87.36%,80.0,nc,16.18%,1799.0
4617,Névez,29339.0,14.73%,1.74%,2581.40,83.44%,216.0,nc,11.93%,2694.0
4618,Périssac,23267.0,10.75%,1.52%,nc,84.82%,77.0,nc,14.84%,1192.0
4619,Plabennec,29175.0,9.58%,0.90%,2315.55,86.67%,478.0,nc,17.15%,8545.0
4620,Saint-Alban-sur-Limagnole,22832.0,8.42%,1.16%,nc,83.33%,78.0,nc,17.14%,1378.0
4621,Ascain,32434.0,10.59%,1.55%,2535.09,83.65%,484.0,nc,17.74%,4368.0
4622,Baraqueville,25881.0,7.84%,1.11%,2158.70,88.08%,252.0,nc,16.25%,3158.0
4623,Barbentane,28936.0,11.22%,1.75%,2598.13,87.05%,368.0,nc,17.07%,4228.0
4624,Gouézec,23097.0,10.99%,1.26%,nc,83.33%,40.0,nc,15.24%,1104.0
4625,Landévant,25325.0,8.76%,1.01%,2316.71,88.21%,230.0,nc,17.33%,4013.0
4626,Marchiennes,26822.0,10.95%,1.45%,2599.71,88.10%,256.0,nc,17.63%,4549.0
4627,Pérols,33634.0,12.60%,1.97%,2949.11,86.65%,1326.0,nc,20.10%,9438.0
4628,Saint-Maur,25458.0,8.62%,0.91%,2296.95,85.74%,284.0,nc,15.96%,3694.0
4629,Seyssinet-Pariset,30393.0,10.10%,1.75%,2665.59,86.89%,984.0,nc,18.60%,11792.0
4630,Viels-Maisons,24572.0,14.98%,1.83%,nc,88.74%,87.0,nc,15.44%,1214.0
4631,Cublize,24863.0,11.54%,1.58%,nc,87.21%,94.0,nc,17.71%,1296.0
4632,Dortan,27459.0,11.58%,1.64%,nc,85.57%,113.0,nc,14.39%,1892.0
4633,Marsac-sur-Don,22990.0,10.53%,1.11%,nc,87.55%,74.0,nc,17.04%,1524.0
4634,Montrem,23062.0,8.09%,1.51%,nc,83.51%,55.0,nc,17.25%,1197.0
4635,Pourcieux,27703.0,11.50%,2.17%,nc,88.53%,103.0,nc,18.51%,1570.0
4636,Vert-Saint-Denis,30569.0,10.67%,2.19%,2615.62,89.13%,548.0,nc,18.28%,8564.0
4637,BassillacetAuberoche,25170.0,7.02%,1.03%,2190.04,87.77%,251.0,nc,15.70%,4364.0
4638,Campénéac,23028.0,8.87%,0.85%,nc,83.57%,88.0,nc,15.71%,1898.0
4639,Charavines,28299.0,11.12%,1.36%,nc,84.82%,170.0,nc,16.95%,1950.0
4640,Chiché,23197.0,7.19%,1.43%,nc,82.85%,109.0,nc,15.76%,1688.0
4641,Dingé,26359.0,10.45%,0.95%,nc,81.79%,65.0,nc,16.35%,1660.0
4642,Huillé-Lézigné,25267.0,9.85%,1.68%,nc,84.18%,46.0,nc,15.41%,1318.0
4643,Plaisir,31184.0,10.69%,2.14%,2942.59,87.86%,2133.0,nc,19.83%,30897.0
4644,Sain-Bel,28679.0,11.72%,1.72%,2606.33,85.43%,213.0,nc,18.27%,2434.0
4645,Saint-Béron,24879.0,9.01%,1.29%,nc,83.03%,116.0,nc,15.83%,1710.0
4646,Soussans,26809.0,12.13%,1.48%,nc,86.57%,128.0,nc,16.31%,1673.0
4647,Bazoges-en-Pareds,22327.0,9.33%,1.40%,nc,82.49%,68.0,nc,15.18%,1145.0
4648,Cabrières,28500.0,12.09%,1.95%,nc,87.59%,128.0,nc,17.07%,1710.0
4649,Drefféac,25619.0,8.67%,0.87%,2359.95,83.66%,82.0,nc,17.53%,2288.0
4650,Essarts-en-Bocage,27323.0,6.03%,0.73%,2204.42,85.96%,553.0,nc,18.52%,9300.0
4651,Fléac,27317.0,10.02%,1.61%,2475.33,87.69%,193.0,nc,16.45%,3865.0
4652,Ingré,30400.0,9.25%,2%,2578.50,87.05%,643.0,nc,17.97%,9541.0
4653,Saint-Barthélemy,23135.0,12.23%,1.46%,nc,84.98%,48.0,nc,13.79%,1100.0
4654,Bas-en-Basset,26367.0,9.27%,0.66%,2311.44,85.60%,291.0,nc,17.27%,4461.0
4655,LaCouture-Boussey,26120.0,11.25%,1.43%,2442.44,86.47%,139.0,nc,15.35%,2315.0
4656,Laruns,23211.0,8.09%,1.78%,nc,73.35%,161.0,nc,15%,1181.0
4657,Palaiseau,33866.0,9.35%,1.84%,3254.72,83.52%,2675.0,10975,28.56%,34750.0
4658,Savigny-en-Véron,26302.0,9.48%,1.89%,nc,83.75%,65.0,nc,13.91%,1560.0
4659,Chanas,25825.0,11.78%,1.07%,2441.78,84.91%,260.0,nc,14.67%,2699.0
4660,Draveil,32657.0,11.68%,1.98%,2965,86.30%,2039.0,nc,17.28%,28595.0
4661,Fargues,29450.0,10.97%,2.36%,nc,86.62%,104.0,nc,16.68%,1647.0
4662,LaBernerie-en-Retz,28848.0,14.57%,1.43%,2625.36,82.88%,251.0,nc,12.07%,3206.0
4663,Saint-Carreuc,24514.0,9.18%,1.44%,nc,86.10%,62.0,nc,17.04%,1522.0
4664,Saint-Romain-le-Puy,26285.0,8.68%,0.97%,2328.52,85.97%,288.0,nc,16.53%,4099.0
4665,Biesheim,28215.0,10.42%,1.88%,2520.46,84.97%,117.0,nc,15.07%,2510.0
4666,Chabeuil,29887.0,10.16%,1.48%,2594.69,85.40%,663.0,nc,17.29%,6839.0
4667,Colpo,24748.0,8.02%,0.94%,2194.14,86.23%,103.0,nc,15.78%,2216.0
4668,LaCoucourde,24632.0,12.24%,1.35%,nc,87.03%,87.0,nc,19.44%,1163.0
4669,LeBan-Saint-Martin,31624.0,9.46%,2.32%,2698.52,85.66%,330.0,nc,20.49%,4604.0
4670,Ossun,25933.0,9.08%,0.98%,2218.37,86.89%,127.0,nc,16.25%,2369.0
4671,Saint-Aubin,24780.0,8.33%,1.30%,nc,84.19%,76.0,nc,16.09%,1821.0
4672,Tinténiac,25962.0,8.74%,1.32%,2447.03,87.09%,232.0,nc,17.74%,3774.0
4673,Aubord,28852.0,11.51%,1.45%,2392.83,85.34%,183.0,nc,15.69%,2347.0
4674,Bains-sur-Oust,27905.0,9.26%,1.20%,2289.95,86.52%,184.0,nc,15.71%,3500.0
4675,Buxy,28784.0,10.39%,1.49%,2472.68,84.79%,180.0,nc,20.08%,2147.0
4676,Cours-de-Pile,24551.0,10.94%,2%,nc,88.14%,73.0,nc,13.95%,1558.0
4677,CreullysurSeulles,28600.0,11.27%,1.28%,2310.59,86.21%,128.0,nc,15.71%,2260.0
4678,Fontenay-sur-Loing,24173.0,13.19%,1.77%,nc,90.28%,125.0,nc,14.35%,1710.0
4679,LaBruffière,25494.0,7.09%,0.35%,2149.87,85.71%,169.0,nc,16.72%,4074.0
4680,Loctudy,30260.0,13.06%,1.25%,2476.84,82.64%,253.0,nc,12.09%,3980.0
4681,Messeix,19210.0,9.09%,1.27%,nc,80.12%,45.0,nc,11.47%,1034.0
4682,Reynès,26322.0,10.25%,2.25%,nc,84.93%,94.0,nc,15.76%,1252.0
4683,Vinsobres,27625.0,11.21%,3.15%,nc,83.39%,109.0,nc,15.73%,1025.0
4684,Bosc-le-Hard,23345.0,9.06%,1.27%,nc,86.87%,100.0,nc,18.75%,1567.0
4685,Bracieux,24770.0,12.59%,0.83%,nc,82.42%,85.0,nc,16.15%,1321.0
4686,Champtocé-sur-Loire,24779.0,8.59%,1.19%,nc,85.09%,110.0,nc,17.93%,1855.0
4687,Hames-Boucres,27964.0,13.17%,1.94%,nc,89.14%,53.0,nc,17.48%,1457.0
4688,Igney,25197.0,9.51%,1.56%,nc,84.11%,56.0,nc,18.32%,1156.0
4689,Oderen,23669.0,14.02%,1.13%,nc,87.17%,69.0,nc,15.86%,1256.0
4690,Ottmarsheim,29353.0,12.01%,2.01%,nc,87.31%,85.0,nc,14.94%,1985.0
4691,Plobannalec-Lesconil,27749.0,11.68%,1.31%,2302.06,88.44%,227.0,nc,13.82%,3615.0
4692,Pont-du-Casse,26989.0,9.35%,1.08%,2310.16,87.92%,227.0,nc,16.80%,4156.0
4693,Saint-Georges-sur-Loire,26099.0,8.12%,0.75%,2293.90,86.28%,221.0,nc,19.96%,3706.0
4694,Saint-Malo-de-Guersac,25957.0,8.47%,1.04%,2316.25,86.11%,99.0,nc,15.72%,3206.0
4695,Yzeures-sur-Creuse,22122.0,12.24%,1.79%,nc,90.20%,83.0,nc,14.61%,1337.0
4696,Boussy-Saint-Antoine,29371.0,11.14%,1.87%,2626.45,89.47%,422.0,nc,17.97%,7980.0
4697,Dreuil-lès-Amiens,27559.0,11.52%,1.37%,nc,85.01%,66.0,nc,15.93%,1620.0
4698,Eyraud-Crempse-Maurens,26864.0,12.25%,1.53%,nc,84.69%,134.0,nc,14.55%,1587.0
4699,Frenelles-en-Vexin,26522.0,13.29%,1.18%,nc,85.15%,76.0,nc,13.81%,1714.0
4700,Guilherand-Granges,29572.0,10.22%,0.91%,2470.46,85.39%,783.0,nc,17.75%,10965.0
4701,Méounes-lès-Montrieux,28727.0,13.91%,2.14%,2562.43,88.35%,215.0,nc,17.21%,2226.0
4702,Nort-sur-Erdre,26896.0,8.55%,1.20%,2490.20,87.45%,621.0,nc,18.73%,9198.0
4703,Saint-Didier-en-Velay,24494.0,7.14%,0.75%,2306.32,85.32%,204.0,nc,18.28%,3459.0
4704,Saint-Martin-de-Sanzay,22355.0,13.86%,1.14%,nc,86.10%,36.0,nc,14.72%,1069.0
4705,Simandre,25174.0,9.34%,1.38%,nc,84.32%,91.0,nc,15.27%,1737.0
4706,Thénac,26026.0,9.39%,0.94%,nc,73.06%,107.0,nc,16.48%,1696.0
4707,Vineuil,29847.0,10.98%,1.66%,2620.22,87.48%,472.0,nc,16.87%,8084.0
4708,Bonnieux,28239.0,11.73%,3.06%,nc,85.06%,240.0,nc,16.40%,1190.0
4709,Fréhel,26921.0,12.34%,1.55%,nc,83.33%,157.0,nc,12.06%,1602.0
