,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
21,Auchel,16320.0,25.64%,7.21%,1984.79,76.82%,427.0,nc,27.22%,10221.0
22,Laon,18041.0,25.45%,7.05%,1988.92,79.64%,1246.0,nc,29.93%,24091.0
23,Aubervilliers,13863.0,21.95%,8.62%,2001.67,80.69%,12201.0,nc,29.11%,89401.0
24,Alès,17779.0,27.10%,7.48%,2027.23,79.69%,3765.0,nc,29.56%,42867.0
25,Sainte-Marie,12995.0,28.35%,13.75%,2040.53,78.57%,1130.0,nc,32.87%,14843.0
26,Louvroil,13520.0,37.41%,10.46%,1961.95,75.87%,274.0,nc,28.63%,6389.0
27,Behren-lès-Forbach,15223.0,31.03%,5.72%,1953.34,74.76%,277.0,nc,24.76%,6571.0
28,LeLorrain,11770.0,26.47%,11.93%,1899.49,78.02%,500.0,nc,31.36%,6713.0
29,Lisieux,18076.0,21.82%,5.30%,2003.48,76.21%,1580.0,nc,30.08%,19755.0
30,Villetaneuse,16291.0,22.61%,6.08%,1973.84,80.29%,845.0,nc,27.23%,13433.0
31,Villiers-le-Bel,16436.0,20.76%,5.74%,1941.88,80.96%,2086.0,nc,26.20%,28636.0
32,Waziers,16126.0,26.94%,6.57%,1996.10,76.94%,327.0,nc,25.36%,7381.0
33,Elbeuf,16207.0,29.57%,9.37%,2096.99,72.35%,1066.0,nc,35.46%,16087.0
34,Grande-Synthe,16844.0,28.14%,6.41%,2089.09,76.33%,633.0,nc,27%,20635.0
35,Jeumont,16251.0,29.37%,8.27%,2054.76,79.36%,315.0,nc,26.43%,10447.0
36,Grenay,15483.0,21.36%,5.85%,1939.81,78.82%,195.0,nc,28.18%,6748.0
37,LePortel,17636.0,21.52%,5.70%,1972.42,77.88%,339.0,nc,26.98%,8985.0
38,Lourdes,18122.0,25.33%,4.59%,1893.69,77.56%,1634.0,nc,28.79%,13247.0
39,Vesoul,18868.0,20.08%,5.65%,1973.43,76.43%,1402.0,nc,32.06%,14866.0
40,Bohain-en-Vermandois,15372.0,31.73%,7.55%,1976.67,77.08%,233.0,nc,26.04%,5703.0
41,Saint-Dizier,19094.0,21.74%,5.33%,2015.64,75.99%,1344.0,nc,27.40%,23085.0
42,Divion,16932.0,23.56%,6.25%,2008.33,78.97%,209.0,nc,26.20%,6957.0
43,Argentan,18953.0,20.74%,5.40%,1960.52,77.21%,775.0,nc,25.97%,13401.0
44,Escaudain,16328.0,26.74%,6.06%,2037.01,79.14%,353.0,nc,25.01%,9445.0
